folder,specimen,day,month,year,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,maximumElevationInMeters
c_hallii,466785,20,4,2008,33.044148,-116.441371,300,834,893
c_heterophyllus,1067817,14,5,2010,33.417899,-116.667126,300,1306,1328
c_heterophyllus,466696,9,4,2005,32.718214,-116.569768,1500,1059,1193
c_simulans,3542263,12,4,1902,33.336913,-116.404255,9000,211,364
c_heterophyllus,466658,15,4,2003,32.805961,-116.879565,2500,370,488
c_heterophyllus,1562994,15,4,2003,32.805961,-116.879565,2500,370,488
c_heterophyllus,466550,31,5,1971,32.946712,-116.606414,175,1888,1980
c_heterophyllus,466651,1,4,2003,32.674884,-116.749081,1000,622,682
c_heterophyllus,466824,2,4,2013,32.945183,-117.162644,700,100,132
c_heterophyllus,1442865,1,5,1981,32.584224,-116.684021,400,732,1081
c_hallii,466778,26,5,2010,33.28148,-116.601631,1700,1238,1530
c_simulans,466575,10,4,1955,33.046164,-116.45293,700,972,1130
c_simulans,466607,17,4,1992,32.938316,-116.483734,100,1682,1720
c_heterophyllus,466606,17,4,1992,32.938316,-116.483734,100,1682,1720
c_heterophyllus,3752332,2,3,2017,33.383008,-117.278281,2000,112,223
c_heterophyllus,3640916,2,3,2017,33.383008,-117.278281,2000,112,223
c_simulans,3790233,26,3,1957,33.093566,-116.481378,500,702,728
c_heterophyllus,1570280,5,4,2004,33.1404,-116.788333,3500,622,871
c_heterophyllus,466594,17,3,1986,32.719546,-116.931309,1000,289,199
c_simulans,466609,23,4,1993,32.924673,-116.46047,500,1650,1729
c_simulans,1433103,2,3,1998,33.157924,-116.498593,200,833,860
c_hallii,466789,30,3,2008,33.146856,-116.445801,500,605,644
c_simulans,466791,30,3,2008,33.146856,-116.445801,500,605,644
c_heterophyllus,466643,9,5,2003,32.662413,-116.539956,1500,740,864
c_heterophyllus,1572945,20,4,2001,32.601244,-116.549504,2000,794,885
c_heterophyllus,466722,7,5,2008,32.698347,-116.624899,2000,775,905
c_heterophyllus,466723,21,4,2008,32.694033,-116.566253,200,1004,NA
c_heterophyllus,466630,14,3,2004,32.873574,-116.984905,600,183,293
c_heterophyllus,1568012,27,4,2004,33.308862,-116.663393,3100,888,1222
c_heterophyllus,466468,27,3,1938,32.781885,-116.863491,350,170,363
c_heterophyllus,466453,18,3,1935,32.73259,-117.092259,1000,40,80
c_cooperi,1433668,NA,3,1962,NA,NA,NA,NA,NA
c_heterophyllus,376956,12,3,1992,33.325742,-117.487591,1500,46,NA
c_heterophyllus,466734,18,5,2007,32.673985,-116.688205,2800,370,830
c_hallii,172741,19,3,1979,33.100987,-116.472626,500,688,777
c_hallii,8598685,19,3,1979,33.100987,-116.472626,500,688,777
c_heterophyllus,2262592,16,3,1973,33.316088,-117.194413,500,61,103
c_heterophyllus,466450,13,3,1935,32.871463,-117.170216,5000,80,150
c_heterophyllus,376969,25,3,1962,32.871463,-117.170216,5000,80,150
c_simulans,303122,8,3,1986,33.062829,-116.550865,4000,800,1300
c_heterophyllus,466639,13,6,2004,32.84681,-116.447712,500,1778,NA
c_simulans,466662,13,5,2003,32.969057,-116.515825,2500,1512,1627
c_simulans,1432603,13,5,2003,32.969057,-116.515825,2500,1512,1627
c_heterophyllus,1936643,29,3,2016,33.044192,-117.137651,500,95,268
c_heterophyllus,466731,6,4,2007,33.008963,-117.013122,500,270,308
c_heterophyllus,466674,27,1,2005,33.015114,-117.02335,1500,209,294
c_cooperi,376975,17,4,1958,33.006697,-116.396801,1500,503,846
c_cooperi,3526596,17,4,1958,33.006697,-116.396801,1500,503,846
c_heterophyllus,1567595,24,5,2003,33.326645,-116.766345,500,1465,1506
c_hallii,466788,23,3,2008,33.002167,-116.460031,2000,635,685
c_simulans,466650,26,4,2000,32.785024,-116.333017,10000,1200,1360
c_simulans,466846,18,5,2012,32.765138,-116.263823,2500,1088,1147
c_heterophyllus,466652,2,5,2000,32.838799,-117.115365,1000,106,121
c_heterophyllus,466624,2,5,2000,32.876154,-117.0306,1000,159,270
c_heterophyllus,1571627,2,5,2000,32.876154,-117.0306,1000,159,270
c_heterophyllus,390110,4,4,2004,32.891617,-117.092372,1200,184,228
c_heterophyllus,390340,13,3,2003,32.830964,-117.047077,830,214,339
c_heterophyllus,389147,13,3,2003,32.830323,-117.044464,100,315,NA
c_heterophyllus,466699,27,4,2006,32.975915,-116.883465,2000,299,442
c_simulans,466490,29,4,1941,33.211255,-116.512219,500,1256,NA
c_heterophyllus,1655772,24,4,2012,32.681023,-116.472144,5000,956,1170
c_heterophyllus,1458900,6,4,1938,33.288641,-117.083738,2500,218,286
c_heterophyllus,466481,12,4,1939,32.719227,-117.245494,2000,30,118
c_cooperi,23362016,23,3,1978,33.250947,-116.463203,500,1056,1241
c_heterophyllus,466457,3,4,1935,32.598685,-116.642046,1500,588,717
c_cooperi,376954,13,4,1957,32.65522,-116.133182,100,1166,1227
c_heterophyllus,466717,27,4,2004,32.919483,-116.882212,100,456,NA
c_heterophyllus,466444,27,2,1935,32.840619,-117.252086,300,163,230
c_heterophyllus,466749,15,3,2008,32.686543,-116.774531,200,750,778
c_heterophyllus,1367410,15,4,1934,33.284301,-117.216899,1200,50,76
c_heterophyllus,466541,10,4,1971,32.728427,-116.835433,200,400,550
c_simulans,466548,2,6,1971,32.806613,-116.382699,5000,1400,1800
c_heterophyllus,1442867,1,3,1982,32.63427,-116.8487,800,400,700
c_heterophyllus,466676,1,6,2004,32.60667,-116.88778,100,350,NA
c_heterophyllus,1542149,4,5,2003,32.59833,-116.81361,100,976,NA
c_heterophyllus,1467346,26,2,1997,32.600136,-116.769585,100,177,NA
c_simulans,395332,2,5,2014,32.93774,-116.48286,200,1676,NA
c_simulans,7949521,2,5,2014,32.93774,-116.48286,200,1676,NA
c_simulans,466660,25,4,2004,32.957,-116.504,200,1567,NA
c_heterophyllus,466715,5,4,2005,32.85425,-116.7426,80,795,NA
c_heterophyllus,466578,21,4,1982,32.76409,-116.57253,1609,1200,NA
c_heterophyllus,466807,18,3,2009,33.08139,-116.92167,100,294,NA
c_simulans,1629354,10,5,2008,33.21089,-116.495,100,1286,NA
c_simulans,466790,10,5,2008,33.21089,-116.495,100,1286,NA
